variable_id,mz,rt,condition,polarity,mean_intensity
M71T824_POS,70.98033666,823.5647888,0.013196571,positive,188792051.4
M72T823_POS,71.98741136,823.2585144,0.042634569,positive,15481940.67
M72T34_POS,72.08081529,33.85064888,-0.086349183,positive,4751415.57
M73T36_POS,73.02842005,35.77315521,-0.004839013,positive,8695662.069
M73T815_POS,73.06475005,815.2985535,0.068617108,positive,28559209.98
M73T749_POS,73.30845817,748.723938,0.030526699,positive,52440390.22
M74T765_POS,74.22085461,765.2583923,0.036984881,positive,46996095.97
M74T815_POS,74.29013249,815.1974487,0.071859766,positive,2341982.626
M75T749_POS,75.02287613,748.6485901,-0.023472929,positive,998087.236
M76T807_POS,76.1057949,806.9522095,-0.022714369,positive,1998022.49
M77T786_POS,76.85635497,785.5770874,-0.048544675,positive,1415702.102
M77T33_POS,77.03824538,32.84656525,-0.125146315,positive,10157691.65
M78T47_POS,77.96829656,47.05956841,-0.268296094,positive,1789465.712
M79T33_POS,79.05407241,33.26688194,-0.095971257,positive,27530880.19
M79T817_POS,79.0752712,817.3830566,0.049991096,positive,38585595.95
M79T556_POS,79.07524916,556.2390137,0.023814264,positive,14357535.99
M79T581_POS,79.07525564,581.4523926,-0.010873496,positive,15659357.62
M79T626_POS,79.07525373,626.1158447,0.039391144,positive,13638484.76
M79T655_POS,79.07523162,655.2340088,0.064755413,positive,8964277.242
M80T814_POS,80.04944769,814.2091675,0.001189011,positive,41139646.66
M80T661_POS,80.04947206,660.56427,-0.026990354,positive,57169736.3
M81T36_POS,81.06988459,36.0825119,0.028916261,positive,24407108.86
M82T33_POS,81.98662244,32.74848747,-0.111439864,positive,1595803.819
M82T47_POS,82.40716531,47.06222153,-0.224343315,positive,1546963.754
M83T832_POS,83.02148743,831.5510559,0.038676958,positive,9492343.644
M83T37_POS,83.04912341,36.76532745,0.027342116,positive,12867018
M84T34_1_POS,84.04441211,33.99888229,0.022587751,positive,6511736.077
M85T267_POS,84.61457524,267.1715698,0.10003689,positive,815510.9344
